Java,JAR,C,Comment
./Aprove_09/PastaB4/PastaB4.java,./Aprove_09/PastaB4/PastaB4.jar,./Aprove_09_C/PastaB4.c,
./Aprove_09/PastaB5/PastaB5.java,./Aprove_09/PastaB5/PastaB5.jar,./Aprove_09_C/PastaB5.c,
./Aprove_09/PastaB6/PastaB6.java,./Aprove_09/PastaB6/PastaB6.jar,./Aprove_09_C/PastaB6.c,
./Aprove_09/PastaB7/PastaB7.java,./Aprove_09/PastaB7/PastaB7.jar,./Aprove_09_C/PastaB7.c,
./Aprove_09/PastaB8/PastaB8.java,./Aprove_09/PastaB8/PastaB8.jar,./Aprove_09_C/PastaB8.c,
./Aprove_09/PastaB10/PastaB10.java,./Aprove_09/PastaB10/PastaB10.jar,./Aprove_09_C/PastaB10.c,
./Aprove_09/PastaB11/PastaB11.java,./Aprove_09/PastaB11/PastaB11.jar,./Aprove_09_C/PastaB11.c,
./Aprove_09/PastaB12/PastaB12.java,./Aprove_09/PastaB12/PastaB12.jar,./Aprove_09_C/PastaB12.c,
./Aprove_09/PastaB13/PastaB13.java,./Aprove_09/PastaB13/PastaB13.jar,./Aprove_09_C/PastaB13.c,
./Aprove_09/PastaB14/PastaB14.java,./Aprove_09/PastaB14/PastaB14.jar,./Aprove_09_C/PastaB14.c,
./Aprove_09/PastaB15/PastaB15.java,./Aprove_09/PastaB15/PastaB15.jar,./Aprove_09_C/PastaB15.c,
./Aprove_09/PastaB16/PastaB16.java,./Aprove_09/PastaB16/PastaB16.jar,./Aprove_09_C/PastaB16.c,
./Aprove_09/PastaB17/PastaB17.java,./Aprove_09/PastaB17/PastaB17.jar,./Aprove_09_C/PastaB17.c,
./Aprove_09/PastaB18/PastaB18.java,./Aprove_09/PastaB18/PastaB18.jar,./Aprove_09_C/PastaB18.c,
./Aprove_09/PastaC1/PastaC1.java,./Aprove_09/PastaC1/PastaC1.jar,./Aprove_09_C/PastaC1.c,
./Aprove_09/PastaC2/PastaC2.java,./Aprove_09/PastaC2/PastaC2.jar,./Aprove_09_C/PastaC2.c,
./Aprove_09/PastaC3/PastaC3.java,./Aprove_09/PastaC3/PastaC3.jar,./Aprove_09_C/PastaC3.c,
./Aprove_09/PastaC5/PastaC5.java,./Aprove_09/PastaC5/PastaC5.jar,./Aprove_09_C/PastaC5.c,
./Aprove_09/PastaC7/PastaC7.java,./Aprove_09/PastaC7/PastaC7.jar,./Aprove_09_C/PastaC7.c,
./Aprove_09/PastaC9/PastaC9.java,./Aprove_09/PastaC9/PastaC9.jar,./Aprove_09_C/PastaC9.c,
./Aprove_09/PastaC10/PastaC10.java,./Aprove_09/PastaC10/PastaC10.jar,./Aprove_09_C/PastaC10.c,
./Aprove_09/PastaC11/PastaC11.java,./Aprove_09/PastaC11/PastaC11.jar,./Aprove_09_C/PastaC11.c,
./Aprove_09/PlusSwap/PlusSwap.java,./Aprove_09/PlusSwap/PlusSwap.jar,./Aprove_09_C/PlusSwap.c,
./Aprove_09/Round3/Round3.java,./Aprove_09/Round3/Round3.jar,./Aprove_09_C/round3.c,


